2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2059,2058,2057,2056,2055,2054,2053,2052,2051,2050,2049,2048,2047,2046,2045,2044,2043,,2042,2041,2040,2039,2038,2037,2036,2035,2034,2033,2032,,,,,,,,,
,,,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2109,2108,2107,2106,2105,2104,2103,2102,2101,2100,2099,,2098,2097,2096,2095,2094,2093,2092,2091,2090,2089,2088,,,,,,,,,
,,,,,,,,,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2146,2145,2144,2143,,2142,2141,2140,2139,2138,2137,2136,2135,2134,2133,2132,,,,,,,,,
,,,,,,,,,,,,,,,,2147,2148,2149,2150,,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160,2161,,,,,,,,,
,,2399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2400,,,,,,2176,2175,2174,2173,2172,2171,2170,2169,2168,2167,,,,2166,2165,2164,2163,2162,,,,,,,,,,,,,,,
,,2401,,,,,,2177,2178,2179,2180,2181,2182,2183,2184,2185,2186,,,,2187,2188,2189,2190,,,,,,,,,,,,,,,,
,,2402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2403,,,,,,2212,2211,2210,2209,2208,2207,2206,2205,2204,2203,,,,2202,2201,2200,2199,2198,2197,2196,2195,2194,2193,2192,2191,,,,,,,,
,,2404,,,,,,2213,2214,2215,2216,2217,2218,2219,2220,2221,2222,,,,2223,2224,2225,2226,2227,2228,2229,2230,2231,2232,2233,2234,2235,,,,,,,
,,2405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2406,,,2268,2267,2266,2265,2264,2263,2262,2261,2260,2259,2258,2257,2256,,2321,,2255,2254,2253,2252,2251,2250,2249,2248,2247,2246,2245,2244,2243,2242,2241,2240,2239,2238,2237,2236
,,2407,,,2269,2270,2271,2272,2273,2274,2275,2276,2277,2278,2279,2280,2281,,2322,,2282,2283,2284,2285,2286,2287,2288,2289,2290,2291,2292,2293,2294,2295,2296,2297,2298,2299,2300,2301
,,2408,,,,,,,,,,,,,,,,,2323,,,,,,,,,,,,,,,,,,,,,
,,2409,,2330,2329,2328,2327,2326,2325,2324,2323,2322,2321,2320,2319,2318,2317,,2324,,,,,,,2316,2315,2314,2313,2312,2311,2310,2309,2308,2307,2306,2305,2304,2303,2302
,,2410,,,,,,,,,,,,,,,,,2325,,,,,,,,,,,,,,,,,,,,,
,,2411,,,,,,,,,,,,,,,,,2326,,,,,,,,,,,,,,,,,,,,,
,,2412,,,,,,,,,,,,,,,,,2327,,,,,,,,,,,,,,,,,,,,,
,,2413,,1F,,,,,,,,,,,,,,,2328,,,,,,,,,,,,,,,,,,,,,
,,2414,,1631,1632,1633,,,,,,,,,,,,,2329,,,,,,,,,,,,,,,,,,,,,
,,2415,,,,,,,,,,,,,,,,,2330,,,,,,,,,,,,,,,,,,,,,
